0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:50 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:50 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:52 +0530] "GET /collabrationFront/addBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:41:00 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:41:01 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:41:09 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:42:13 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:42:14 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:42:28 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:42:42 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:45:21 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:45:27 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:45:41 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:46:43 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:53:12 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:53:15 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:11 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:20 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:20 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:20 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:20 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:20 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:20 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:21 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:21 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:22 +0530] "GET /collabrationFront/contactUs.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:25 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:56:26 +0530] "GET /collabrationFront/contactUs.html HTTP/1.1" 200 -
